year,min_100 metre U wind component,max_100 metre U wind component,avg_100 metre U wind component,min_100 metre V wind component,max_100 metre V wind component,avg_100 metre V wind component,min_10 metre U wind component,max_10 metre U wind component,avg_10 metre U wind component,min_10 metre V wind component,max_10 metre V wind component,avg_10 metre V wind component,min_2 metre temperature,max_2 metre temperature,avg_2 metre temperature,min_Evaporation,max_Evaporation,avg_Evaporation,min_High vegetation cover,max_High vegetation cover,avg_High vegetation cover,min_Ice temperature layer 1,max_Ice temperature layer 1,avg_Ice temperature layer 1,min_Lake bottom temperature,max_Lake bottom temperature,avg_Lake bottom temperature,min_Lake total depth,max_Lake total depth,avg_Lake total depth,min_Low vegetation cover,max_Low vegetation cover,avg_Low vegetation cover,min_Maximum temperature at 2 metres since previous post-processing,max_Maximum temperature at 2 metres since previous post-processing,avg_Maximum temperature at 2 metres since previous post-processing,min_Minimum temperature at 2 metres since previous post-processing,max_Minimum temperature at 2 metres since previous post-processing,avg_Minimum temperature at 2 metres since previous post-processing,min_Precipitation type,max_Precipitation type,avg_Precipitation type,min_Skin temperature,max_Skin temperature,avg_Skin temperature,min_Snow depth,max_Snow depth,avg_Snow depth,min_Snow evaporation,max_Snow evaporation,avg_Snow evaporation,min_Snowmelt,max_Snowmelt,avg_Snowmelt,min_Soil temperature level 1,max_Soil temperature level 1,avg_Soil temperature level 1,min_Surface pressure,max_Surface pressure,avg_Surface pressure,min_Temperature of snow layer,max_Temperature of snow layer,avg_Temperature of snow layer,min_Total cloud cover,max_Total cloud cover,avg_Total cloud cover,min_Total precipitation,max_Total precipitation,avg_Total precipitation,min_Type of high vegetation,max_Type of high vegetation,avg_Type of high vegetation,min_Type of low vegetation,max_Type of low vegetation,avg_Type of low vegetation,min_Volumetric soil water layer 1,max_Volumetric soil water layer 1,avg_Volumetric soil water layer 1
1941,-1.9416417351660076,5.073779851245464,0.9841976151220414,-1.825409501721004,1.899733640445979,-0.1263883257547653,-1.2449540891806101,2.964283247616795,0.5747881779165342,-1.2069375393667259,1.0415938074995832,-0.1042244199489707,264.34453587184686,291.4726872413127,279.06658167307256,-0.00014375166833638814,-5.138154574443734e-06,-6.152648410312328e-05,0.3756440832224457,0.37564408322244575,0.37564408322244575,271.4598631031136,271.45994014467726,271.4598945080059,273.91356755826274,287.1719072688335,279.30367788448945,9.767382979739141,9.767382979739141,9.767382979739141,0.6034543519789889,0.6034543519789889,0.603454351978989,263.3552707169371,292.493874439519,279.2753444113958,263.0106271362628,291.89644215926467,278.81082562504963,0.2925506516969931,4.112359971525982,1.737513240646085,262.4794508898398,292.6702676044438,278.8896877955156,0.0,0.05118874534180171,0.010864529137334126,-4.985635781605398e-06,8.128731141007075e-11,-2.0173417171390453e-06,0.0,0.00010597772266239622,2.473414430117348e-05,272.09147132234295,291.6905277170208,280.38412878318616,98038.60234478701,99505.65855674926,98763.58416828756,264.3962408376911,272.72044786857214,271.18736466049046,0.5381521765747936,0.867702809775748,0.7058047713191823,5.364149505053048e-05,0.00012749592144581322,9.380721389780502e-05,18.665505226480835,18.665505226480835,18.665505226480835,1.048780487804878,1.0487804878048783,1.048780487804878,0.2652019506657119,0.3471117712580671,0.31608910571594123
1942,-2.0945329286376895,2.9568275389346717,0.8253111916553393,-1.390143162678989,3.127668089774514,0.6197231357516192,-1.3414795542441074,1.8240885119582106,0.44560833676701433,-0.8127146542803028,1.797079842997528,0.328582527047881,261.46270308493916,291.8148940926274,279.3901857215803,-0.00013425580123291002,-4.422043468099962e-06,-5.982112109825772e-05,0.3756440832224457,0.37564408322244575,0.37564408322244575,271.4598483947599,271.4599141146386,271.4598841899082,273.4309961454911,287.1290513629458,279.64721403618336,9.767382979739141,9.767382979739141,9.767382979739141,0.6034543519789889,0.6034543519789889,0.603454351978989,260.0768798847753,292.57121386790095,279.63307973795185,259.6826912049562,291.8790627771671,279.12037717964955,0.16815718157181572,4.561937232275549,1.59673479001998,259.3006357800859,292.2972281140627,279.2174854381808,0.0,0.060046834483108956,0.01372286141331342,-1.5201450613736289e-05,1.442256487078137e-10,-2.6157036273293268e-06,0.0,7.349589876494211e-05,1.3779391937630257e-05,271.71969105359904,291.6301356164081,281.05154707395496,98661.8376058019,99198.68782645992,98972.96135388115,261.6542578909883,272.80390524719195,270.67420604429805,0.4016808408626872,0.882852434696636,0.6463924021050064,3.0926816009965106e-05,0.00011906496045377239,6.004314297970405e-05,18.665505226480835,18.665505226480835,18.665505226480835,1.048780487804878,1.0487804878048783,1.048780487804878,0.18221058912868737,0.3354873476497822,0.2762251309700153
1943,-2.105397422311934,5.540237330604487,1.7402570273072644,-2.2250058998535818,2.505663879208925,0.701828926212723,-1.3077407338501827,3.1518044556329805,1.0102350737247665,-1.4006751203418484,1.4333513604398123,0.40590869477066027,267.6821245802777,291.9745343042656,281.0886588421481,-0.0001190514837341324,-6.6798806170939144e-06,-5.910454877100226e-05,0.3756440832224457,0.37564408322244575,0.37564408322244575,271.45986122409977,271.4599320200862,271.4598985248253,274.0210124812317,287.8133380719293,280.6695444828818,9.767382979739141,9.767382979739141,9.767382979739141,0.6034543519789889,0.6034543519789889,0.603454351978989,267.572077518973,292.5475345765116,281.4085629293119,267.2127164612239,291.87879581572184,280.8744099350167,0.10281243365429046,3.8208228741273587,1.2330316170819524,266.7888040571068,292.4217850937125,281.0466118916457,0.0,0.013850631733280588,0.003262832253912511,-5.084795193134836e-06,5.322656539179315e-10,-1.0015799687567488e-06,0.0,4.3621691193446657e-05,9.101289465535305e-06,270.87014928525736,292.1903197665931,281.65267727215604,98624.22985432045,99498.57420884691,99018.92306359891,266.7919908588136,272.82099124496403,271.8128355913912,0.32178191740399437,0.7805273463759302,0.5956356703653977,2.460212921186026e-06,0.00011401658427993749,6.0901864255429225e-05,18.665505226480835,18.665505226480835,18.665505226480835,1.048780487804878,1.0487804878048783,1.048780487804878,0.20701110132473638,0.3297459444170295,0.26074343594651106
1944,-2.2701239677643485,6.765179055967965,0.9876952744213856,-0.9814808577765007,3.094811737730178,0.762687978504666,-1.3871406187964779,3.9242023138621023,0.5603128373283325,-0.6072621708429846,1.6931318995993487,0.4314733928817247,270.09237540483275,292.1118265803005,280.68749855493496,-0.00013785035528235618,-8.92831208689376e-06,-6.286830432540488e-05,0.3756440832224457,0.37564408322244575,0.37564408322244575,271.45988704100233,271.45992827253787,271.45990125277524,274.062589107837,287.46576570153536,280.0992257680553,9.767382979739141,9.767382979739141,9.767382979739141,0.6034543519789889,0.6034543519789889,0.603454351978989,270.26214050812814,292.38045166350247,280.9228378495115,269.8896410056219,291.7615760202098,280.43904125267915,0.14731900890437477,3.9282476938069872,1.4810868963177424,269.2519236102014,292.15899316146175,280.50648425249506,0.0,0.01964659210464622,0.005789069890366108,-9.407942126238472e-06,1.0133792077087693e-10,-1.9932388013329084e-06,0.0,4.682863764143377e-05,1.6287895839191384e-05,271.8353626621433,292.0823470343108,281.2882441881099,98339.40556725061,99447.22669699317,98894.59127541912,267.9401502258263,273.1532814327251,271.9224927552163,0.4615092590582809,0.839368026286406,0.6785843016295362,4.165475955933741e-05,0.00015221274454533843,8.072959090652839e-05,18.665505226480835,18.665505226480835,18.665505226480835,1.048780487804878,1.0487804878048783,1.048780487804878,0.2100547593314831,0.3361947913715684,0.2986299093028923
1945,-1.1503514870626264,4.940962262743352,2.177614622450257,-0.958669147794209,2.137820419068177,0.262980218437525,-0.7191656185836387,2.9025758894281886,1.275470450259376,-0.4653990755513155,1.1642070388808237,0.17065126925760157,265.7739258246979,291.524015207705,280.66017373697554,-0.00013896029594569223,-4.693985468395258e-06,-6.380479915592147e-05,0.3756440832224457,0.37564408322244575,0.37564408322244575,271.4598737994076,271.45995143994253,271.45990374843717,273.81363840593724,287.93077851799586,280.60112244422925,9.767382979739141,9.767382979739141,9.767382979739141,0.6034543519789889,0.6034543519789889,0.603454351978989,266.0177665763711,291.7993826631581,280.9089049622457,265.5981961592684,291.23385085936656,280.41744540161244,0.2872909719880609,4.499344348282192,1.3903975197037468,265.24909755052255,291.8352650484265,280.5152420183827,0.0,0.022399821477413158,0.0054298664433273325,-4.045330735365649e-06,1.8990540600325742e-09,-1.2441366816620226e-06,0.0,0.00010229638485569362,1.7291762109864966e-05,269.96322743409394,291.6317428522743,281.090511857458,98420.1472558634,99387.30994919564,98907.53804077115,265.2555722940792,273.2440464436675,271.8435748317618,0.528399188832384,0.8373112752106489,0.6732231228375903,4.621988892750264e-05,0.00010157157596672316,7.8313387052713e-05,18.665505226480835,18.665505226480835,18.665505226480835,1.048780487804878,1.0487804878048783,1.048780487804878,0.23587074874153807,0.35681503566427175,0.30108645720978716
1946,-2.599913092322817,5.899296458649244,0.7558490902142131,-1.1894507197869963,2.3133575689040367,0.7222303725037356,-1.645718494905168,3.430778438621281,0.4237815945833927,-0.7409989837672782,1.2051641427127604,0.37528429478650277,268.4388486865922,292.71795261703153,280.9013142112024,-0.00014229628737595223,-7.713762484913076e-06,-6.54566302222539e-05,0.3756440832224457,0.37564408322244575,0.37564408322244575,271.4598519648722,271.45992925292643,271.45989312242693,274.166729939771,288.246083058767,280.49719811537597,9.767382979739141,9.767382979739141,9.767382979739141,0.6034543519789889,0.6034543519789889,0.603454351978989,268.6312849808401,293.029021795276,281.15471355338326,268.26558963026304,292.4041750242137,280.63068244938955,0.20338753387533876,3.310546983020851,1.1871076794210997,267.77306897650976,293.0782341777191,280.7234579270743,0.0,0.01259702193210244,0.0025444883867184478,-8.700866434530738e-06,1.5744917820451634e-10,-1.3806270751898826e-06,0.0,3.701132563402026e-05,9.656711441950777e-06,270.0216593421811,292.9332315442731,281.2246036604865,98057.42017453576,99804.49846702385,98977.83085010306,266.2247092181373,273.2477709427062,271.5437755634702,0.4526022929568102,0.7951408962411998,0.613447016630576,3.0040249676779625e-05,0.00013891133220292074,6.818994390559374e-05,18.665505226480835,18.665505226480835,18.665505226480835,1.048780487804878,1.0487804878048783,1.048780487804878,0.236014091408161,0.35214770258636413,0.28752641503691834
1947,-4.318705032702654,4.643558771869631,0.9267868462878903,-2.9447495206099443,2.542652927958121,0.06725098264634069,-2.518734737951324,2.5988577880925834,0.5550537943549246,-1.7531097923330876,1.4386456718605374,0.0019192875061768793,263.0162337368934,292.5952062883244,280.0635866801803,-0.00013687391827912473,-3.4030649655337954e-06,-6.085975289661082e-05,0.3756440832224457,0.37564408322244575,0.37564408322244575,271.45986750316655,271.45992189155595,271.4598947803299,273.68572569589577,288.5398576896116,280.4250247045059,9.767382979739141,9.767382979739141,9.767382979739141,0.6034543519789889,0.6034543519789889,0.603454351978989,263.2131672816944,292.8600834866541,280.3156186211197,262.83754137338883,292.2337679676286,279.788245092499,0.22858110723964384,4.186317819810851,1.4578220309235679,262.71449692542956,292.92253102254944,279.90730394800175,0.0,0.041454323337877304,0.008390097516481494,-8.753535491244468e-06,9.189723562739465e-08,-1.6142615411454143e-06,0.0,0.00012906825336778084,1.8708963148233587e-05,266.7929909633595,292.8448295496552,280.7324630151086,98084.56839345035,99662.44600415402,98843.65304114156,262.6330442761713,273.2491162727098,270.87710783778886,0.47079642750337236,0.8186617944562444,0.6241946067238345,2.5093994633939726e-05,0.00012639380759739972,7.433028210759519e-05,18.665505226480835,18.665505226480835,18.665505226480835,1.048780487804878,1.0487804878048783,1.048780487804878,0.2237970685296863,0.36782000016323096,0.2840745426077462
1948,-0.5698785222921189,3.694707900330011,1.6761078098315554,-1.693557007837145,3.5859106108934267,0.5652292813176546,-0.2756599892226848,2.2375244572340893,0.9676509233918127,-0.8676871454103999,1.9618122435550431,0.32216701312685797,269.46279796070866,290.52737087826057,280.9915108134028,-0.00012898587155127608,-7.187047001575875e-06,-6.421020174407827e-05,0.3756440832224457,0.37564408322244575,0.37564408322244575,271.45986568765596,271.4599187755505,271.4598958182669,274.17604430494526,287.8146208247572,280.6515029808474,9.767382979739141,9.767382979739141,9.767382979739141,0.6034543519789889,0.6034543519789889,0.603454351978989,269.6804288635759,290.7663415919747,281.2086083558675,269.2551680675428,290.1816599284458,280.70415623290336,0.2985707833268809,3.460033775214599,1.2193423339564715,269.0412218252582,290.47397107424024,280.7681863014421,0.0,0.013714108263462595,0.003311316456724162,-5.301012168592406e-06,3.0817341150622565e-08,-8.444068347316797e-07,0.0,4.867733173597963e-05,1.0525139837978372e-05,272.10110672441954,290.7700990710204,281.32434657963114,97826.83217852771,99819.60446795424,98946.31026718044,268.1035380554118,273.2436000865946,271.9767945481903,0.48721003900728305,0.8117387314807964,0.6421571904675419,2.229077493276643e-05,0.00014267570050335927,7.873190627124073e-05,18.665505226480835,18.665505226480835,18.665505226480835,1.048780487804878,1.0487804878048783,1.048780487804878,0.2621923204402636,0.3507313425173664,0.3027070841701096
1949,-1.8306713731415982,5.216052574945507,1.7496376366011532,-2.0992397555967717,2.818708345552484,0.5007648625643738,-1.0895956627275578,3.0406325323234507,1.0201016928827045,-1.2426184106940745,1.713148439566062,0.26585789316719294,271.85955115852073,290.4867979214541,281.28739328742046,-0.00012642441130454612,-9.983448497397397e-06,-6.414845987335296e-05,0.3756440832224457,0.37564408322244575,0.37564408322244575,271.4598634265432,271.4599220645091,271.4599046142281,274.1435815855629,287.7115311218332,280.8054615847104,9.767382979739141,9.767382979739141,9.767382979739141,0.6034543519789889,0.6034543519789889,0.603454351978989,271.92680862334527,290.7862740395263,281.5511321289299,271.3964113047271,290.22148362617156,281.04233824058696,0.2410923990192283,2.93024099883856,1.2157488279791913,271.24253048460344,290.65952535901323,281.1069318225019,0.0,0.017306062812033878,0.0031088446791886337,-1.0589625974567106e-05,5.847870221539773e-10,-1.5479221916049894e-06,0.0,5.207944159807111e-05,1.4604695453711234e-05,272.27484039123317,290.3054573400472,281.4281488567064,98422.57277148664,99485.06257077526,98946.76089025715,269.6835279301435,273.10899804233816,272.08306596615574,0.4672441987379672,0.825071570777176,0.6226518056016822,1.6068290601448344e-05,0.00015140717928155864,8.33548888394613e-05,18.665505226480835,18.665505226480835,18.665505226480835,1.048780487804878,1.0487804878048783,1.048780487804878,0.21724016744437907,0.3424586318373618,0.3027006852354726
1950,-0.8951358046975985,3.6956773486440757,1.4921766302639954,-0.6979760770523917,3.2468641116670405,0.8491160407426864,-0.592979810642618,2.1395065623662566,0.8721287312622236,-0.4016802544589226,1.9088210307960392,0.47544069268544614,266.5208637768309,291.4874268149808,281.2164741365762,-0.00013275619816619256,-7.122342568841129e-06,-6.393685944426629e-05,0.3756440832224457,0.37564408322244575,0.37564408322244575,271.45986946894595,271.45992136151057,271.4598950965436,273.6997287963625,287.82083981804715,280.6263162274807,9.767382979739141,9.767382979739141,9.767382979739141,0.6034543519789889,0.6034543519789889,0.603454351978989,266.32695004999374,292.0814532057643,281.5264918945909,265.9236800553101,291.41403897067397,281.0000784405876,0.22100770546875972,3.4540669139410283,1.144647275853839,265.754562191037,292.2717510464115,281.20171689957016,0.0,0.0186134846158403,0.0036665304498795896,-3.2820789136303174e-06,1.0800754858387842e-10,-8.002451873395756e-07,0.0,4.599396130404247e-05,1.2929332536804099e-05,271.3407309860419,291.96843453659386,281.9013470344355,98121.72786065137,99364.3647780775,98732.62322182604,265.59315624205857,272.96679002479027,271.7621051327875,0.41434697047681684,0.8389516276380357,0.6300841383374259,2.8592295173421207e-05,0.00010204301186262647,7.018890436447812e-05,18.665505226480835,18.665505226480835,18.665505226480835,1.048780487804878,1.0487804878048783,1.048780487804878,0.20583114394257537,0.34250732656240646,0.28791834274848094
